"","PEMEX","CHEVRON","MOBIL","REPSOL","TOTAL","BP","G500"
"2018-12-06",14.14,93.9993515014648,1620.48559570312,11.0354137420654,39.5067749023438,30.4229774475098,5313.5
"2018-12-07",14.24,93.6587371826172,1556.77233886719,11.1155920028687,39.3186187744141,30.3614959716797,5361
"2018-12-10",13.53,93.2127304077148,1569.68286132812,11.1520357131958,39.1449241638184,30.2539176940918,5337
"2018-12-11",13.44,93.6425399780273,1524.96533203125,11.1520357131958,38.9495315551758,30.031063079834,5330.5
"2018-12-12",13.61,93.7641830444336,1524.96533203125,10.9734573364258,39.477840423584,30.0080070495605,5354
"2018-12-13",13.63,94.0237045288086,1524.96533203125,10.4340763092041,40.2738952636719,30.1924324035645,5359.5
"2018-12-14",13.4,92.3125381469727,1524.96533203125,10.7766561508179,39.8610725402832,29.7083187103271,5363
"2018-12-17",13.2,91.1934280395508,1493.55334472656,10.4960346221924,39.5970802307129,29.5162010192871,5362.5
"2018-12-18",12.88,88.9956817626953,1449.89245605469,10.6490993499756,38.6438179016113,29.0628108978271,5369
"2018-12-19",12.67,87.4467391967773,1402.67529296875,10.7620792388916,38.2845230102539,28.9321765899658,5374
"2018-12-20",12.59,85.1354598999023,1347.35913085938,10.882345199585,38.3065185546875,28.6324863433838,5343
"2018-12-21",12.38,84.5110168457031,1331.55432128906,10.7803020477295,37.9692001342773,28.9475517272949,5278
